School Name,LAT,LNG,School Type,City,County,5 DTaP,4 Polio,2 MMR,3 Hep B,Immunity to Chickenpox,Series,Exemption
ROGER CLAP INNOVATION SCHOOL,42.3232057,-71.0581739,Public,DORCHESTER,Suffolk,83%,83%,83%,83%,83%,83%,0%
SARAH GREENWOOD,42.3016305,-71.067605,Public,DORCHESTER,Suffolk,76%,78%,76%,93%,80%,76%,0%
ST BRENDAN SCHOOL,42.2825146,-71.0512049,Private,DORCHESTER,Suffolk,53%,67%,47%,89%,50%,42%,0%
THOMAS KENNY,42.2865213,-71.0531934,Public,DORCHESTER,Suffolk,*,*,*,*,*,*,*
UP ACADEMY DORCHESTER,42.2996045,-71.0707302,Public,DORCHESTER,Suffolk,75%,75%,75%,83%,75%,70%,1.60%
WILLIAM E RUSSELL,42.3203616,-71.059592,Public,DORCHESTER,Suffolk,99%,99%,99%,99%,99%,99%,0%
WILLIAM MONROE TROTTER,42.315789,-71.0879068,Public,DORCHESTER,Suffolk,67%,74%,76%,91%,74%,74%,0%
DOUGLAS PRIMARY,42.0705563,-71.7089133,Public,DOUGLAS,Worcester,95%,97%,98%,98%,97%,95%,4.60%
CHARLES RIVER SCHOOL,42.2447584,-71.2787353,Private,DOVER,Norfolk, , , , , , , 
CHICKERING,42.2572881,-71.2847622,Public,DOVER,Norfolk,90%,96%,100%,96%,94%,86%,0%
BROOKSIDE ELEMENTARY,42.6729872,-71.3417058,Public,DRACUT,Middlesex,92%,98%,100%,100%,100%,90%,0%
GREENMONT AVENUE,42.6701525,-71.3087381,Public,DRACUT,Middlesex,100%,100%,100%,100%,100%,100%,0%
JOSEPH A. CAMPBELL,42.6631902,-71.2641698,Public,DRACUT,Middlesex,93%,99%,99%,99%,99%,99%,0%
MASON ROAD SCHOOL,42.0461151,-71.9052453,Public,DUDLEY,Worcester,98%,100%,100%,100%,100%,98%,0%
SWALLOW UNION SCHOOL,42.6731964,-71.4826354,Public,DUNSTABLE,Middlesex,91%,98%,100%,98%,100%,89%,0%
BAY FARM MONTESSORI,42.0080221,-70.7181201,Private,DUXBURY,Plymouth, , , , , , , 
CHANDLER ELEMENTARY,42.0358072,-70.737355,Public,DUXBURY,Plymouth,99%,99%,98%,98%,98%,89%,1.80%
CURTIS GUILD SCHOOL,42.3883127,-71.0042353,Public,EAST BOSTON,Suffolk,87%,87%,87%,100%,87%,87%,0%
DANTE ALIGHIERI,42.371514,-71.0376604,Public,EAST BOSTON,Suffolk, , , , , , , 
DONALD MCKAY,42.3692724,-71.0342448,Public,EAST BOSTON,Suffolk,*,*,*,*,*,*,*
EAST BOSTON CENTRAL CATHOLIC,42.3715682,-71.0399722,Private,EAST BOSTON,Suffolk, , , , , , , 
EDWARD BROOKE CHARTER SCHOOL 3,42.2818841,-71.1218834,Public,EAST BOSTON,Suffolk,92%,98%,95%,100%,94%,90%,0%
EEC/EAST BOSTON,42.3698437,-71.0342062,Public,EAST BOSTON,Suffolk,54%,87%,57%,95%,55%,54%,0%
HUGH ROE ODONNELL,42.3702137,-71.0388601,Public,EAST BOSTON,Suffolk,62%,82%,62%,85%,59%,59%,0%
JAMES OTIS,42.375254,-71.033871,Public,EAST BOSTON,Suffolk,47%,84%,53%,95%,51%,47%,0%
MANASSAH BRADLEY,42.3917518,-71.0049881,Public,EAST BOSTON,Suffolk,87%,87%,87%,100%,87%,87%,0%
MARIO UMANA ACADEMY,42.3783494,-71.0407923,Public,EAST BOSTON,Suffolk,81%,90%,83%,90%,79%,76%,0%
PATRICK J KENNEDY SCHOOL,42.3784286,-71.0303293,Public,EAST BOSTON,Suffolk,78%,96%,82%,99%,78%,78%,0%
SAMUEL ADAMS SCHOOL,42.3655301,-71.0348347,Public,EAST BOSTON,Suffolk,76%,92%,81%,97%,78%,74%,1.10%
CENTRAL SCHOOL,42.0300311,-70.9571861,Public,EAST BRIDGEWATER,Plymouth,83%,97%,83%,97%,82%,78%,0.70%
EAST BROOKFIELD ELEMENTARY,42.2293711,-72.036935,Public,EAST BROOKFIELD,Worcester, , , , , , , 
EAST FALMOUTH ELEMENTARY,41.5768949,-70.5602903,Public,EAST FALMOUTH,Barnstable,100%,100%,100%,100%,100%,100%,0%
FREETOWN ELEMENTARY,41.7610549,-71.0147743,Public,EAST FREETOWN,Bristol,98%,100%,100%,100%,100%,98%,0%
MEADOW BROOK,42.0787061,-72.4836966,Public,EAST LONGMEADOW,Hampden,100%,100%,99%,99%,99%,98%,1.50%
EAST TAUNTON ELEMENTARY,41.8713964,-71.0411058,Public,EAST TAUNTON,Bristol,99%,99%,99%,99%,99%,99%,0.90%
OLD POST RD ELEMENTARY,42.145605,-71.222725,Public,EAST WALPOLE,Norfolk,100%,100%,100%,99%,100%,99%,0%
EASTHAM ELEMENTARY SCHOOL,41.8410405,-69.973765,Public,EASTHAM,Barnstable, , , , , , , 
CALVARY BAPTIST SCHOOL,42.255995,-72.698144,Private,EASTHAMPTON,Hampshire,*,*,*,*,*,*,*
CENTER SCHOOL,42.2654031,-72.6695202,Public,EASTHAMPTON,Hampshire, , , , , , , 
MAPLE,42.2653796,-72.661615,Public,EASTHAMPTON,Hampshire,100%,100%,100%,98%,100%,98%,2.10%
NEIL A PEPIN SCHOOL,42.2687012,-72.6737024,Public,EASTHAMPTON,Hampshire,92%,96%,96%,98%,94%,90%,2.00%
EDGARTOWN ELEMENTARY,41.3890052,-70.5133599,Public,EDGARTOWN,Dukes,82%,96%,96%,96%,93%,82%,6.70%
ERVING ELEMENTARY,42.5895306,-72.4848097,Public,ERVING,Franklin, , , , , , , 
ESSEX ELEMENTARY SCHOOL,42.6320387,-70.7903257,Public,ESSEX,Essex,92%,97%,97%,92%,95%,92%,2.60%
KEVERIAN SCHOOL,42.4089053,-71.0447697,Public,EVERETT,Middlesex,92%,96%,96%,96%,96%,89%,0%
LAFAYETTE SCHOOL,42.4219614,-71.0510241,Public,EVERETT,Middlesex,99%,99%,99%,99%,99%,96%,1.10%
MADELINE ENGLISH SCHOOL,42.4135,-71.0691,Public,EVERETT,Middlesex,98%,100%,100%,99%,98%,98%,1.10%
PARLIN SCHOOL,42.4108565,-71.0506667,Public,EVERETT,Middlesex,95%,88%,86%,95%,87%,82%,1.10%
ST ANTHONY ELEMENTARY,42.405532,-71.058913,Private,EVERETT,Middlesex,100%,100%,100%,100%,100%,100%,0%
SUMNER G WHITTIER SCHOOL,42.4039982,-71.0576951,Public,EVERETT,Middlesex,94%,100%,99%,100%,98%,89%,0%
WEBSTER SCHOOL,42.4125307,-71.0389441,Public,EVERETT,Middlesex,100%,100%,100%,100%,100%,100%,0%
EAST FAIRHAVEN,41.6501137,-70.8625103,Public,FAIRHAVEN,Bristol,97%,98%,98%,98%,97%,95%,1.70%
LEROY WOOD SCHOOL,41.6362156,-70.8805925,Public,FAIRHAVEN,Bristol,99%,100%,99%,100%,99%,98%,1.20%
ST JOSEPH,41.6410166,-70.8786157,Private,FAIRHAVEN,Bristol, , , , , , , 
ACESE,41.6987277,-71.1411647,Public,FALL RIVER,Bristol, , , , , , , 
ANTIOCH SCHOOL,41.7100548,-71.1512831,Private,FALL RIVER,Bristol, , , , , , , 
ATLANTIS CHARTER SCHOOL,41.6940842,-71.1630732,Public,FALL RIVER,Bristol,95%,97%,100%,100%,99%,94%,0.90%
CARLTON VIVEIROS ELEMENTARY,41.6859107,-71.1768235,Public,FALL RIVER,Bristol,98%,98%,98%,100%,98%,98%,2.50%
EAST GATE CHRISTIAN ACADEMY,41.6946579,-71.177999,Private,FALL RIVER,Bristol, , , , , , , 
ESPIRITO SANTO,41.6879292,-71.1344548,Private,FALL RIVER,Bristol, , , , , , , 
FRANK M SILVIA SCHOOL,41.7332619,-71.1109868,Public,FALL RIVER,Bristol,96%,97%,97%,97%,97%,95%,5.10%
HENRY LORD COMMUNITY SCHOOL,41.6725776,-71.1688767,Public,FALL RIVER,Bristol,96%,98%,99%,98%,98%,96%,1.20%
HOLY NAME SCHOOL,41.713039,-71.1400251,Private,FALL RIVER,Bristol, , , , , , , 
HOLY TRINITY SCHOOL,41.676137,-71.1557679,Private,FALL RIVER,Bristol, , , , , , , 
JAMES TANSEY ELEMENTARY,41.7187134,-71.1322668,Public,FALL RIVER,Bristol,98%,100%,98%,100%,98%,96%,2.00%
JOHN J DORAN SCHOOL,41.7001689,-71.1650253,Public,FALL RIVER,Bristol,95%,97%,100%,100%,100%,95%,0%
LETOURNEAU ELEMENTARY,41.6729151,-71.1558425,Public,FALL RIVER,Bristol,95%,100%,99%,100%,100%,95%,2.50%
MARY FONSECA ELEMENTARY,41.7012262,-71.1384181,Public,FALL RIVER,Bristol,94%,95%,100%,100%,100%,89%,0%
SAMUEL WATSON,41.6843509,-71.1305751,Public,FALL RIVER,Bristol,89%,94%,98%,98%,98%,85%,0%
SPENCER BORDEN,41.7133259,-71.1310162,Public,FALL RIVER,Bristol,94%,94%,99%,99%,99%,94%,1.40%
ST MICHAEL SCHOOL,41.7233821,-71.1466715,Private,FALL RIVER,Bristol, , , , , , , 
ST STANISLAUS,41.6911082,-71.1685675,Private,FALL RIVER,Bristol, , , , , , , 
WILLIAM S GREENE,41.6861908,-71.1523125,Public,FALL RIVER,Bristol,*,*,*,*,*,*,*
MULLEN-HALL ELEMENTARY,41.5532208,-70.6085886,Public,FALMOUTH,Barnstable,88%,93%,97%,93%,92%,84%,5.20%
TEATICKET ELEMENTARY,41.5676324,-70.5909132,Public,FALMOUTH,Barnstable,100%,100%,100%,100%,100%,100%,0%
CLIFFORD M GRANGER,42.0660239,-72.6774348,Public,FEEDING HILLS,Hampden,94%,94%,94%,94%,94%,94%,5.60%
APPLEWILD SCHOOL,42.5927,-71.8087,Private,FITCHBURG,Worcester, , , , , , , 
CROCKER ELEMENTARY SCHOOL,42.6038746,-71.8062748,Public,FITCHBURG,Worcester,96%,98%,99%,100%,97%,96%,0%
MCKAY ARTS ACADEMY,42.5949643,-71.7894771,Public,FITCHBURG,Worcester,96%,99%,99%,99%,99%,96%,0%
REINGOLD ELEMENTARY,42.571385,-71.830917,Public,FITCHBURG,Worcester,99%,100%,99%,99%,99%,98%,0%
SOUTH ST ELEMENTARY,42.5710555,-71.797735,Public,FITCHBURG,Worcester,98%,100%,98%,100%,97%,96%,3.90%
ST ANTHONY ELEMENTARY,42.5903672,-71.7928509,Private,FITCHBURG,Worcester, , , , , , , 
ST BERNARD ELEMENTARY,42.573893,-71.7806569,Private,FITCHBURG,Worcester, , , , , , , 
HILL INSTITUTE,42.3325228,-72.6708927,Private,FLORENCE,Hampshire, , , , , , , 
ROBERT K FINN SCHOOL,42.3173115,-72.6934248,Public,FLORENCE,Hampshire,97%,94%,97%,94%,97%,94%,3.10%
ABBOTT MEMORIAL,42.6756385,-73.0370458,Public,FLORIDA,Berkshire, , , , , , , 
FORESTDALE ELEMENTARY,41.6917744,-70.4994721,Public,FORESTDALE,Barnstable,99%,99%,99%,100%,99%,99%,1.50%
ACADEMY AT FOXBOROUGH,42.0743889,-71.236836,Private,FOXBORO,Norfolk, , , , , , , 
CHARLES TAYLOR ELEMENTARY,42.0486549,-71.253691,Public,FOXBORO,Norfolk,95%,98%,98%,98%,98%,95%,2.30%
FOXBORO REG CHARTER SCHOOL,42.05689,-71.244916,Public,FOXBORO,Norfolk,86%,86%,90%,97%,95%,86%,1.00%
KINGS WOOD MONTESSORI,42.0665127,-71.2536801,Private,FOXBORO,Norfolk, , , , , , , 
MABELLE BURRELL ELEMENTARY,42.0610368,-71.2061374,Public,FOXBORO,Norfolk,97%,94%,97%,97%,97%,94%,3.00%
SAGE SCHOOL,42.0813061,-71.2301237,Private,FOXBORO,Norfolk, , , , , , , 
VINCENT M IGO ELEMENTARY,42.0609593,-71.249785,Public,FOXBORO,Norfolk,97%,98%,99%,98%,100%,90%,1.10%
BARBIERI ELEMENTARY,42.2795401,-71.4322836,Public,FRAMINGHAM,Middlesex,99%,98%,97%,100%,99%,97%,0%
BRIGHTON SCHOOL,42.325375,-71.415955,Private,FRAMINGHAM,Middlesex, , , , , , , 
BROPHY SCHOOL,42.3063804,-71.4643059,Public,FRAMINGHAM,Middlesex,94%,97%,94%,100%,93%,93%,0%
CHARLOTTE A DUNNING,42.3213902,-71.4305981,Public,FRAMINGHAM,Middlesex,95%,94%,94%,95%,94%,91%,0%
HEMENWAY ELEMENTARY,42.3301628,-71.4322143,Public,FRAMINGHAM,Middlesex,84%,82%,86%,93%,84%,83%,9.00%
KING ELEMENTARY,42.279286,-71.4161565,Public,FRAMINGHAM,Middlesex,100%,99%,100%,100%,100%,100%,0%
LEARNING CENTER FOR DEAF,42.3068825,-71.426765,Private,FRAMINGHAM,Middlesex, , , , , , , 
MARY E STAPLETON,42.3267027,-71.3998737,Public,FRAMINGHAM,Middlesex,95%,98%,98%,98%,98%,98%,1.80%
METRO WEST JEWISH DAY SCHOOL,42.3042941,-71.4522671,Private,FRAMINGHAM,Middlesex, , , , , , , 
MIRIAM MCCARTHY SCHOOL,42.2912068,-71.4158942,Public,FRAMINGHAM,Middlesex,99%,99%,99%,99%,99%,99%,0%
POTTER ROAD,42.3389353,-71.4140563,Public,FRAMINGHAM,Middlesex,99%,99%,99%,99%,99%,99%,1.40%
ST BRIDGET ELEMENTARY,42.2986999,-71.432,Private,FRAMINGHAM,Middlesex,89%,89%,89%,89%,89%,89%,11.10%
SUDBURY VALLEY,42.3245524,-71.4642976,Private,FRAMINGHAM,Middlesex, , , , , , , 
SUMMIT MONTESSORI,42.3046367,-71.4486818,Private,FRAMINGHAM,Middlesex, , , , , , , 
WOODROW WILSON,42.2710858,-71.3979395,Public,FRAMINGHAM,Middlesex,94%,96%,92%,83%,93%,91%,0%
BENJAMIN FRANKLIN CLASSICAL CHARTER SCHOOL,42.0890574,-71.400625,Public,FRANKLIN,Norfolk,96%,98%,100%,100%,100%,96%,0%
DAVIS THAYER SCHOOL,42.0841827,-71.4023526,Public,FRANKLIN,Norfolk,98%,100%,100%,100%,100%,98%,0%
HELEN KELLER ELEMENTARY SCHOOL,42.1092193,-71.3976517,Public,FRANKLIN,Norfolk,100%,100%,100%,100%,100%,100%,0%
J F KENNEDY MEMORIAL SCHOOL,42.1082879,-71.4276927,Public,FRANKLIN,Norfolk,100%,100%,100%,98%,100%,98%,2.00%
JEFFERSON ELEMENTARY SCHOOL,42.0524881,-71.4181624,Public,FRANKLIN,Norfolk,97%,98%,100%,100%,100%,97%,0%
OAK STREET ELEMENTARY,42.0915365,-71.4061334,Public,FRANKLIN,Norfolk,95%,92%,90%,95%,92%,87%,1.70%
PARMENTER SCHOOL,42.071802,-71.395426,Public,FRANKLIN,Norfolk,94%,97%,98%,98%,98%,92%,1.60%
SUNRISE MONTESSORI SCHOOL,42.082808,-71.410043,Private,FRANKLIN,Norfolk, , , , , , , 
HOLY FAMILY,42.5739818,-71.9988879,Private,GARDNER,Worcester,100%,100%,100%,100%,93%,93%,6.70%
WATERFORD ST SCHOOL,42.5725883,-72.0036887,Public,GARDNER,Worcester,100%,100%,99%,100%,100%,99%,0.50%
PERLEY ELEMENTARY,42.726259,-70.9885797,Public,GEORGETOWN,Essex,98%,98%,97%,98%,97%,95%,1.10%
HARDWICK ELEMENTARY SCHOOL,42.317509,-72.1847049,Public,GILBERTVILLE,Worcester, , , , , , , 
GILL ELEMENTARY,42.6492516,-72.4975881,Public,GILL,Franklin, , , , , , , 
BEEMAN SCHOOL,42.6369194,-70.6724496,Public,GLOUCESTER,Essex,100%,100%,100%,97%,97%,93%,1.70%
EAST GLOUCESTER ELEMENTARY,42.608977,-70.6481869,Public,GLOUCESTER,Essex,91%,98%,98%,100%,98%,88%,0%
EASTERN POINT DAY SCHOOL,42.6159285,-70.6619888,Private,GLOUCESTER,Essex, , , , , , , 
FAITH CHRISTIAN SCHOOL,42.632607,-70.678602,Private,GLOUCESTER,Essex, , , , , , , 
PLUM COVE,42.6748468,-70.6666633,Public,GLOUCESTER,Essex,89%,91%,89%,91%,89%,86%,5.70%
VETERANS MEMORIAL,42.6199802,-70.6499599,Public,GLOUCESTER,Essex,75%,78%,78%,84%,78%,72%,0%
WEST PARISH SCHOOL,42.6195394,-70.7119901,Public,GLOUCESTER,Essex,96%,96%,96%,96%,96%,93%,0%
TOUCHSTONE COMMUNITY SCHOOL,42.1827335,-71.6440551,Private,GRAFTON,Worcester, , , , , , , 
WEST ST ELEMENTARY,42.2576448,-72.5197185,Public,GRANBY,Hampshire,92%,100%,100%,100%,100%,92%,0%
GRANVILLE VILLAGE SCHOOL,42.0662049,-72.8542649,Public,GRANVILLE,Hampden, , , , , , , 
MUDDY BROOK ELEMENTARY,42.2457259,-73.3295297,Public,GREAT BARRINGTON,Berkshire,89%,89%,92%,92%,94%,77%,6.50%
RUDOLF STEINER,42.1895338,-73.4087248,Private,GREAT BARRINGTON,Berkshire, , , , , , , 
FEDERAL STREET SCHOOL,42.5913933,-72.5977013,Public,GREENFIELD,Franklin,100%,100%,100%,100%,100%,100%,0%
FOUR CORNERS,42.6089778,-72.588962,Public,GREENFIELD,Franklin,96%,96%,98%,96%,96%,96%,4.40%
GREENFIELD CENTER SCHOOL,42.5745304,-72.5828668,Private,GREENFIELD,Franklin, , , , , , , 
NEWTON SCHOOL,42.5861968,-72.6139785,Public,GREENFIELD,Franklin,*,*,*,*,*,*,*
COUNTRY DAY OF HOLY UNION,42.6007125,-71.5652474,Private,GROTON,Middlesex, , , , , , , 
FLORENCE ROCHE SCHOOL,42.6159235,-71.578401,Public,GROTON,Middlesex,89%,94%,93%,95%,93%,89%,4.60%
GROTON COMMUNITY SCHOOL,42.6112018,-71.5745152,Private,GROTON,Middlesex, , , , , , , 
SEVEN HILLS SCHOOL,42.6112018,-71.5745152,Private,GROTON,Middlesex, , , , , , , 
DR ELMER BAGNALL,42.7603688,-71.0314451,Public,GROVELAND,Essex,98%,98%,98%,98%,98%,98%,1.60%
HADLEY ELEMENTARY,42.3523156,-72.5863134,Public,HADLEY,Hampshire,97%,97%,97%,97%,93%,93%,0%
HARTSBROOK SCHOOL,42.3286796,-72.5651581,Private,HADLEY,Hampshire,27%,31%,0%,0%,13%,0%,46.70%
PIONEER VALLEY CHINESE CHARTER SCH,42.3530562,-72.5581874,Public,HADLEY,Hampshire,100%,100%,100%,100%,98%,98%,2.00%
HALIFAX ELEMENTARY SCHOOL,41.9907478,-70.8590792,Public,HALIFAX,Plymouth,99%,99%,99%,99%,99%,99%,1.30%
WINTHROP SCHOOL,42.6133646,-70.8704975,Public,HAMILTON,Essex,92%,98%,97%,95%,97%,92%,0%
GREEN MEADOWS,42.0664901,-72.4136158,Public,HAMPDEN,Hampden,97%,97%,100%,100%,100%,97%,0%
HANCOCK ELEMENTARY,42.5481362,-73.3109495,Public,HANCOCK,Berkshire, , , , , , , 
CEDAR ELEMENTARY SCHOOL,42.1312121,-70.867543,Public,HANOVER,Plymouth,*,*,*,*,*,*,*
CENTER ELEMENTARY SCHOOL,42.1189902,-70.8419866,Public,HANOVER,Plymouth,93%,95%,90%,95%,92%,90%,2.70%
MAQUAN ELEMENTARY SCHOOL,42.0630728,-70.8569189,Public,HANSON,Plymouth,98%,98%,99%,98%,99%,98%,1.00%
HILDRETH ELEMENTARY SCHOOL,42.4969958,-71.5812043,Public,HARVARD,Worcester,98%,98%,98%,98%,98%,98%,1.60%
HARWICH ELEMENTARY,41.692133,-70.069797,Public,HARWICH,Barnstable,89%,96%,94%,94%,94%,94%,4.20%
HATFIELD ELEMENTARY SCHOOL,42.3700892,-72.5981446,Public,HATFIELD,Hampshire,100%,97%,94%,97%,94%,94%,3.20%
BARTLETT KINDERGARTEN CTR,42.7762015,-71.0772796,Public,HAVERHILL,Essex,98%,100%,100%,99%,98%,98%,0.80%
BRADFORD ELEMENTARY,42.7571993,-71.0695248,Public,HAVERHILL,Essex,100%,100%,100%,100%,100%,100%,0%
CONSENTINO SCHOOL,42.7702254,-71.1030911,Public,HAVERHILL,Essex, , , , , , , 
CROWELL SCHOOL,42.7667111,-71.0538378,Public,HAVERHILL,Essex,94%,97%,97%,98%,97%,93%,0%
GOLDEN HILL SCHOOL,42.7755252,-71.0584311,Public,HAVERHILL,Essex,94%,98%,100%,98%,100%,94%,0%
GREENLEAF SCHOOL,42.7762015,-71.0772796,Public,HAVERHILL,Essex,*,*,*,*,*,*,*
HILLTOP NURSERY & KINDERGARTEN,42.7762015,-71.0772796,Private,HAVERHILL,Essex, , , , , , , 
HILLVIEW MONTESSORI CHARTER SCHOOL,42.7660307,-71.1199589,Public,HAVERHILL,Essex,89%,92%,86%,84%,86%,84%,2.70%
PENTUCKET LAKE SCHOOL,42.7951076,-71.0759643,Public,HAVERHILL,Essex,84%,84%,84%,84%,84%,84%,0%
SILVER HILL HORACE MANN CHARTER,42.7692216,-71.1011472,Public,HAVERHILL,Essex,97%,98%,98%,99%,99%,96%,0%
ST JOSEPH ELEMENTARY,42.7789791,-71.0917243,Private,HAVERHILL,Essex, , , , , , , 
TEACH,42.7885,-71.0866,Public,HAVERHILL,Essex, , , , , , , 
TILTON SCHOOL,42.7751151,-71.0955306,Public,HAVERHILL,Essex,97%,97%,100%,98%,100%,97%,0%
WALNUT SQUARE SCHOOL,42.7937011,-71.083391,Public,HAVERHILL,Essex,97%,97%,97%,97%,97%,97%,2.60%
HILLTOWN COOP CHARTER SCHOOL,42.376189,-72.705674,Public,HAYDENVILLE,Hampshire, , , , , , , 
DERBY ACADEMY,42.248505,-70.8938581,Private,HINGHAM,Plymouth, , , , , , , 
EAST ELEMENTARY SCHOOL,42.4031009,-72.8481979,Public,HINGHAM,Plymouth,79%,88%,88%,93%,84%,75%,3.60%
FOSTER ELEMENTARY,42.2530432,-70.9014699,Public,HINGHAM,Plymouth,98%,98%,98%,100%,98%,98%,2.00%
OLD COLONY MONTESSORI,42.1791795,-70.901723,Private,HINGHAM,Plymouth, , , , , , , 
PLYMOUTH RIVER SCHOOL,42.2104095,-70.9021461,Public,HINGHAM,Plymouth,100%,100%,100%,100%,100%,100%,0%
SOUTH ELEMENTARY,42.1988129,-70.883851,Public,HINGHAM,Plymouth,99%,99%,99%,95%,97%,92%,2.60%
SOUTH SHORE CONSERVATORY,42.2346031,-70.9125821,Private,HINGHAM,Plymouth, , , , , , , 
ST PAUL SCHOOL,42.2431557,-70.8906009,Private,HINGHAM,Plymouth, , , , , , , 
SU ESCUELA LANGUAGE ACADEMY,42.2480499,-70.920588,Private,HINGHAM,Plymouth, , , , , , , 
KITTREDGE,42.4384189,-73.1226022,Public,HINSDALE,Berkshire, , , , , , , 
JOHN F KENNEDY,42.1501694,-70.9989718,Public,HOLBROOK,Norfolk,100%,100%,100%,100%,100%,100%,0%
ST JOSEPH SCHOOL,42.1505944,-71.0061729,Private,HOLBROOK,Norfolk, , , , , , , 
DAVIS HILL ELEMENTARY,42.3567595,-71.8586651,Public,HOLDEN,Worcester,84%,84%,81%,88%,81%,74%,5.20%
DAWSON ELEMENTARY,42.3375123,-71.851119,Public,HOLDEN,Worcester,98%,98%,98%,97%,98%,97%,3.00%
HOLDEN CHRISTIAN ACADEMY,42.3406531,-71.8674956,Private,HOLDEN,Worcester, , , , , , , 
LEROY E MAYO SCHOOL,42.3497908,-71.8233454,Public,HOLDEN,Worcester,97%,96%,99%,99%,97%,95%,5.50%
HOLLAND ELEMENTARY,42.065373,-72.1597995,Public,HOLLAND,Hampden, , , , , , , 
PLACENTINO SCHOOL,42.2070725,-71.422187,Public,HOLLISTON,Middlesex,99%,98%,99%,97%,98%,97%,2.60%
BLESSED SACRAMENT SCHOOL,42.1955427,-72.6317149,Private,HOLYOKE,Hampden, , , , , , , 
E N WHITE SCHOOL,42.2250217,-72.6263237,Public,HOLYOKE,Hampden,96%,100%,100%,100%,100%,96%,0%
FIRST LUTHERAN,42.2042586,-72.6162009,Private,HOLYOKE,Hampden, , , , , , , 
HOLYOKE COMMUNITY CHARTER SCHOOL,42.1850306,-72.6289764,Public,HOLYOKE,Hampden,89%,91%,89%,92%,86%,81%,0%
KELLY ELEMENTARY,42.2064596,-72.6090848,Public,HOLYOKE,Hampden,99%,99%,100%,100%,100%,99%,0%
LT ELMER J MCMAHON ELEMENTARY,42.1844958,-72.6479324,Public,HOLYOKE,Hampden,100%,100%,100%,100%,100%,100%,0%
MATER DOLOROSA,42.2106715,-72.6053639,Private,HOLYOKE,Hampden, , , , , , , 
MAURICE A DONAHUE SCHOOL,42.177654,-72.640384,Public,HOLYOKE,Hampden,94%,96%,96%,97%,96%,94%,1.30%
MORGAN ELEMENTARY,42.196103,-72.6084825,Public,HOLYOKE,Hampden,62%,52%,88%,79%,74%,62%,0%
PECK-LAWRENCE FULL SERVICE COMM SCHOOL (LAWRENCE CAMPUS),42.2042586,-72.6162009,Public,HOLYOKE,Hampden,95%,100%,100%,100%,100%,95%,0%
SPRINGDALE EDUCATION CENTER,42.204617,-72.611667,Private,HOLYOKE,Hampden, , , , , , , 
SULLIVAN ELEMENTARY,42.2042586,-72.6162009,Public,HOLYOKE,Hampden,96%,96%,96%,97%,96%,93%,0%
THE CENTER SCHOOL,42.2042586,-72.6162009,Private,HOLYOKE,Hampden, , , , , , , 
MEMORIAL SCHOOL,42.131208,-71.5359284,Public,HOPEDALE,Worcester,99%,100%,100%,99%,100%,99%,0%
CENTER,42.2267212,-71.539093,Public,HOPKINTON,Middlesex,98%,98%,99%,99%,99%,98%,0.90%
BERKSHIRE MEADOWS (JRI),42.2542548,-73.3662214,Private,HOUSATONIC,Berkshire, , , , , , , 
HUBBARDSTON CENTER SCHOOL,42.4745854,-72.0074554,Public,HUBBARDSTON,Worcester,95%,97%,100%,100%,95%,92%,0%
FARLEY ELEMENTARY,42.391736,-71.566139,Public,HUDSON,Middlesex,99%,99%,99%,99%,99%,99%,1.30%
FIRST STEPS,42.384157,-71.566378,Private,HUDSON,Middlesex, , , , , , , 
FOREST AVE ELEMENTARY,42.3900934,-71.5453429,Public,HUDSON,Middlesex,96%,96%,100%,98%,100%,96%,1.80%
MULREADY ELEMENTARY,42.3971289,-71.5407701,Public,HUDSON,Middlesex,98%,100%,100%,100%,100%,98%,0%
LILLIAN JACOBS,42.3068131,-70.9089761,Public,HULL,Plymouth,72%,81%,81%,91%,76%,72%,3.40%
LITTLEVILLE ELEMENTARY,42.249773,-72.868946,Public,HUNTINGTON,Hampshire,*,*,*,*,*,*,*
ACADEMY OF EARLY LEARNING,41.662,-70.305,Private,HYANNIS,Barnstable, , , , , , , 
BCHMCPS ELEMENTARY,41.6524911,-70.2881124,Public,HYANNIS,Barnstable,99%,99%,97%,99%,99%,97%,1.30%
HYANNIS WEST ELEMENTARY,41.6497299,-70.3162316,Public,HYANNIS,Barnstable,98%,98%,95%,98%,98%,98%,0%
BOSTON RENAISSANCE CHARTER SCHOOL,42.2504852,-71.1266109,Public,HYDE PARK,Suffolk,98%,99%,99%,99%,99%,98%,0.80%
ELIHU GREENWOOD,42.2653839,-71.1174871,Public,HYDE PARK,Suffolk,86%,88%,88%,81%,88%,85%,5.10%
FRANKLIN ROOSEVELT LOWER CAMPUS,42.233938,-71.132846,Public,HYDE PARK,Suffolk,48%,65%,55%,88%,88%,48%,0%
HENRY GREW,42.256859,-71.1271725,Public,HYDE PARK,Suffolk,58%,56%,56%,64%,54%,50%,0%
NEW BEGINNINGS ACADEMY,42.2572815,-71.1216563,Private,HYDE PARK,Suffolk, , , , , , , 
PARKSIDE CHRISTIAN ACADEMY,42.2396336,-71.1371197,Private,HYDE PARK,Suffolk,*,*,*,*,*,*,*
WILLIAM ELLERY CHANNING ELEM,42.2565289,-71.1240559,Public,HYDE PARK,Suffolk,54%,67%,52%,77%,54%,43%,0%
