School Name,LAT,LNG,School Type,City,County,5 DTaP,4 Polio,2 MMR,3 Hep B,Immunity to Chickenpox,Series,Exemption
BALDWIN EARLY LEARNING CENTER,42.341947,-71.140567,Public,BRIGHTON,Suffolk,49%,64%,47%,94%,49%,47%,0%
CONSERVATORY LAB CHARTER,42.3524089,-71.1529138,Public,BRIGHTON,Suffolk,87%,91%,91%,100%,91%,87%,0%
EDISON K-8 SCHOOL,42.3463503,-71.1626756,Public,BRIGHTON,Suffolk,51%,66%,59%,77%,56%,54%,1.30%
KENNEDY DAY SCHOOL,42.3498855,-71.1451766,Private,BRIGHTON,Suffolk, , , , , , , 
MARY LYON K-8 SCHOOL,42.3463503,-71.1626756,Public,BRIGHTON,Suffolk, , , , , , , 
SHALOH HOUSE,42.3478686,-71.1544295,Private,BRIGHTON,Suffolk, , , , , , , 
ST COLUMBKILLE ELEMENTARY,42.3463503,-71.1626756,Private,BRIGHTON,Suffolk,93%,98%,95%,98%,88%,86%,2.40%
WINSHIP SCHOOL,42.3475792,-71.1553501,Public,BRIGHTON,Suffolk,*,*,*,*,*,*,*
BRIMFIELD ELEMENTARY,42.119261,-72.201745,Public,BRIMFIELD,Hampden,100%,100%,100%,100%,100%,100%,0%
BB RUSSELL SCHOOL,42.0824626,-71.0231467,Public,BROCKTON,Plymouth,84%,92%,91%,94%,91%,90%,0%
BROCKTON SDA ACADEMY,42.0863559,-71.0104778,Private,BROCKTON,Plymouth,*,*,*,*,*,*,*
BROOKFIELD SCHOOL,42.1181511,-71.0103942,Public,BROCKTON,Plymouth,94%,98%,100%,100%,99%,93%,0.90%
DOWNEY SCHOOL,42.0778781,-70.9939334,Public,BROCKTON,Plymouth,95%,95%,98%,99%,98%,96%,1.80%
DR W ARNONE SCHOOL,42.0801741,-71.0250345,Public,BROCKTON,Plymouth,95%,99%,98%,100%,96%,96%,0.70%
EDGAR B DAVIS ELEMENTARY,42.0834335,-71.0183787,Public,BROCKTON,Plymouth,95%,93%,96%,100%,95%,94%,0%
GILMORE SCHOOL EARLY CHILDHOOD CTR,42.0834335,-71.0183787,Public,BROCKTON,Plymouth,82%,89%,88%,84%,87%,82%,2.40%
HANCOCK ELEMENTARY,42.0853129,-71.0667116,Public,BROCKTON,Plymouth,98%,99%,99%,99%,99%,99%,1.00%
HUNTINGTON SCHOOL,42.0626485,-71.0196712,Public,BROCKTON,Plymouth,98%,100%,100%,100%,100%,95%,0%
JOHN F KENNEDY ELEMENTARY,42.0834335,-71.0183787,Public,BROCKTON,Plymouth,96%,99%,100%,96%,100%,96%,0%
LOUIS F ANGELO ELEMENTARY,42.0952328,-71.0198651,Public,BROCKTON,Plymouth,85%,95%,98%,100%,98%,86%,0%
MANTHALA GEORGE SCHOOL,42.0964516,-71.0399982,Public,BROCKTON,Plymouth,88%,97%,97%,99%,97%,92%,0%
MARY E BAKER SCHOOL,42.0940192,-70.9894135,Public,BROCKTON,Plymouth,89%,96%,94%,100%,93%,93%,0%
OSCAR F RAYMOND,42.1042666,-71.0294906,Public,BROCKTON,Plymouth,95%,99%,98%,99%,98%,95%,0%
TRINITY CATHOLIC ACADEMY LOWER CAMP,42.0834335,-71.0183787,Private,BROCKTON,Plymouth,83%,98%,90%,98%,75%,69%,0%
BROOKFIELD ELEMENTARY,42.2141158,-72.0975411,Public,BROOKFIELD,Worcester,100%,100%,100%,100%,100%,100%,0%
BRIMMER AND MAY,42.3317642,-71.1211635,Private,BROOKLINE,Norfolk, , , , , , , 
DEXTER SCHOOL,42.3080925,-71.1375488,Private,BROOKLINE,Norfolk, , , , , , , 
EDITH C BAKER,42.302802,-71.158208,Public,BROOKLINE,Norfolk,*,*,*,*,*,*,*
EDWARD DEVOTION,42.3317642,-71.1211635,Public,BROOKLINE,Norfolk,96%,98%,98%,97%,92%,78%,1.70%
GAN TORAH ACADEMY,42.339,-71.1391,Private,BROOKLINE,Norfolk,56%,64%,64%,72%,44%,50%,0%
HEATH,42.328681,-71.110559,Public,BROOKLINE,Norfolk,100%,99%,100%,99%,100%,97%,1.40%
JOHN D RUNKLE,42.3341696,-71.1421509,Public,BROOKLINE,Norfolk,95%,98%,98%,98%,97%,94%,3.20%
LAWRENCE,42.7153681,-71.1414683,Public,BROOKLINE,Norfolk,99%,99%,100%,99%,98%,97%,0%
LINCOLN ELEMENTARY,42.3284892,-71.1293765,Public,BROOKLINE,Norfolk,94%,91%,100%,97%,95%,85%,3.00%
MAIMONIDES,42.329978,-71.1303594,Private,BROOKLINE,Norfolk, , , , , , , 
MICHAEL DRISCOLL,42.3411198,-71.136419,Public,BROOKLINE,Norfolk,94%,97%,94%,96%,96%,90%,4.30%
NEW ENGLAND HEBREW ACADEMY,42.3488104,-71.1109976,Private,BROOKLINE,Norfolk, , , , , , , 
PARK SCHOOL,42.314877,-71.133202,Private,BROOKLINE,Norfolk,96%,100%,94%,100%,94%,87%,0%
PIERCE SCHOOL,42.335722,-71.1220134,Public,BROOKLINE,Norfolk,97%,98%,98%,100%,97%,94%,0%
SOUTHFIELD SCHOOL,42.3317642,-71.1211635,Private,BROOKLINE,Norfolk, , , , , , , 
ST MARY OF ASSUMPTION,42.3355575,-71.1195036,Private,BROOKLINE,Norfolk, , , , , , , 
FOX HILL SCHOOL,42.5293023,-71.1890244,Public,BURLINGTON,Middlesex,100%,100%,100%,100%,100%,100%,0%
FRANCIS WYMAN ELEMENTARY,42.5005115,-71.2155474,Public,BURLINGTON,Middlesex,98%,98%,98%,98%,98%,98%,2.30%
MEMORIAL SCHOOL,42.5005994,-71.1836528,Public,BURLINGTON,Middlesex,92%,95%,95%,95%,95%,92%,2.70%
MOUNT HOPE CHRISTIAN SCHOOL,42.5026668,-71.198445,Private,BURLINGTON,Middlesex,87%,97%,94%,97%,94%,87%,0%
OPEN BIBLE ACADEMY,42.4890305,-71.1716781,Private,BURLINGTON,Middlesex, , , , , , , 
PINE GLEN ELEMENTARY,42.5217409,-71.2058802,Public,BURLINGTON,Middlesex,98%,100%,100%,100%,100%,98%,0%
ST MARGARET REG SCHOOL,41.7464694,-70.6116092,Private,BUZZARDS BAY,Barnstable, , , , , , , 
AMIGOS SCHOOL,42.3628407,-71.1083114,Public,CAMBRIDGE,Middlesex,100%,100%,100%,100%,99%,99%,0%
BENJAMIN BANNEKER CHARTER SCHOOL,42.392112,-71.13156,Public,CAMBRIDGE,Middlesex,100%,100%,100%,100%,100%,100%,0%
BUCKINGHAM BROWNE AND NICHOLS,42.3790767,-71.1293219,Private,CAMBRIDGE,Middlesex,100%,100%,100%,95%,100%,95%,0%
CAMBRIDGE FRIENDS,42.3878697,-71.1304558,Private,CAMBRIDGE,Middlesex,81%,91%,88%,97%,84%,75%,3.10%
CAMBRIDGE MONTESSORI SCHOOL,42.3857922,-71.1322947,Private,CAMBRIDGE,Middlesex, , , , , , , 
CAMBRIDGEPORT SCHOOL,42.3693201,-71.0977649,Public,CAMBRIDGE,Middlesex,95%,97%,99%,99%,97%,95%,0%
FAYERWEATHER STREET SCHOOL,42.3914024,-71.1541769,Private,CAMBRIDGE,Middlesex, , , , , , , 
FLETCHER-MAYNARD ACADEMY,42.3668215,-71.0957828,Public,CAMBRIDGE,Middlesex,96%,99%,98%,100%,95%,95%,0%
GRAHAM & PARKS SCHOOL,42.3826912,-71.1236775,Public,CAMBRIDGE,Middlesex,95%,97%,97%,93%,95%,92%,8.10%
HAGGERTY,42.3780477,-71.1525611,Public,CAMBRIDGE,Middlesex,98%,100%,100%,100%,100%,96%,0%
HENRY BUCKNER SCHOOL,42.3656313,-71.1017021,Private,CAMBRIDGE,Middlesex, , , , , , , 
JOHN M TOBIN SCHOOL,42.383865,-71.139656,Public,CAMBRIDGE,Middlesex,94%,96%,95%,97%,92%,86%,1.30%
KENNEDY-LONGFELLOW  SCHOOL,42.3690748,-71.0866794,Public,CAMBRIDGE,Middlesex,90%,94%,100%,99%,100%,99%,0%
